UF,Tipo Crime,Ano,Mês,Ocorrências
Alagoas,Roubo seguido de morte (latrocínio),2016,setembro,3
Alagoas,Tentativa de homicídio,2016,setembro,55
Alagoas,Estupro,2016,outubro,44
Alagoas,Furto de veículo,2016,outubro,62
Alagoas,Homicídio doloso,2016,outubro,128
Alagoas,Lesão corporal seguida de morte,2016,outubro,0
Alagoas,Roubo a instituição financeira,2016,outubro,1
Alagoas,Roubo de carga,2016,outubro,18
Alagoas,Roubo de veículo,2016,outubro,385
Alagoas,Roubo seguido de morte (latrocínio),2016,outubro,4
Alagoas,Tentativa de homicídio,2016,outubro,58
Alagoas,Estupro,2016,novembro,43
Alagoas,Furto de veículo,2016,novembro,69
Alagoas,Homicídio doloso,2016,novembro,148
Alagoas,Lesão corporal seguida de morte,2016,novembro,1
Alagoas,Roubo a instituição financeira,2016,novembro,1
Alagoas,Roubo de carga,2016,novembro,11
Alagoas,Roubo de veículo,2016,novembro,354
Alagoas,Roubo seguido de morte (latrocínio),2016,novembro,6
Alagoas,Tentativa de homicídio,2016,novembro,45
Alagoas,Estupro,2016,dezembro,56
Alagoas,Furto de veículo,2016,dezembro,70
Alagoas,Homicídio doloso,2016,dezembro,174
Alagoas,Lesão corporal seguida de morte,2016,dezembro,3
Alagoas,Roubo a instituição financeira,2016,dezembro,2
Alagoas,Roubo de carga,2016,dezembro,18
Alagoas,Roubo de veículo,2016,dezembro,312
Alagoas,Roubo seguido de morte (latrocínio),2016,dezembro,5
Alagoas,Tentativa de homicídio,2016,dezembro,73
Alagoas,Estupro,2017,janeiro,63
Alagoas,Furto de veículo,2017,janeiro,91
Alagoas,Homicídio doloso,2017,janeiro,188
Alagoas,Lesão corporal seguida de morte,2017,janeiro,3
Alagoas,Roubo a instituição financeira,2017,janeiro,1
Alagoas,Roubo de carga,2017,janeiro,6
Alagoas,Roubo de veículo,2017,janeiro,301
Alagoas,Roubo seguido de morte (latrocínio),2017,janeiro,7
Alagoas,Tentativa de homicídio,2017,janeiro,55
Alagoas,Estupro,2017,fevereiro,58
Alagoas,Furto de veículo,2017,fevereiro,72
Alagoas,Homicídio doloso,2017,fevereiro,164
Alagoas,Lesão corporal seguida de morte,2017,fevereiro,5
Alagoas,Roubo a instituição financeira,2017,fevereiro,2
Alagoas,Roubo de carga,2017,fevereiro,7
Alagoas,Roubo de veículo,2017,fevereiro,329
Alagoas,Roubo seguido de morte (latrocínio),2017,fevereiro,6
Alagoas,Tentativa de homicídio,2017,fevereiro,36
Alagoas,Estupro,2017,março,62
Alagoas,Furto de veículo,2017,março,96
Alagoas,Homicídio doloso,2017,março,169
Alagoas,Lesão corporal seguida de morte,2017,março,1
Alagoas,Roubo a instituição financeira,2017,março,1
Alagoas,Roubo de carga,2017,março,6
Alagoas,Roubo de veículo,2017,março,287
Alagoas,Roubo seguido de morte (latrocínio),2017,março,4
Alagoas,Tentativa de homicídio,2017,março,56
Alagoas,Estupro,2017,abril,52
Alagoas,Furto de veículo,2017,abril,67
Alagoas,Homicídio doloso,2017,abril,147
Alagoas,Lesão corporal seguida de morte,2017,abril,2
Alagoas,Roubo a instituição financeira,2017,abril,1
Alagoas,Roubo de carga,2017,abril,6
Alagoas,Roubo de veículo,2017,abril,213
Alagoas,Roubo seguido de morte (latrocínio),2017,abril,4
Alagoas,Tentativa de homicídio,2017,abril,58
Alagoas,Estupro,2017,maio,58
Alagoas,Furto de veículo,2017,maio,67
Alagoas,Homicídio doloso,2017,maio,107
Alagoas,Lesão corporal seguida de morte,2017,maio,2
Alagoas,Roubo a instituição financeira,2017,maio,4
Alagoas,Roubo de carga,2017,maio,5
Alagoas,Roubo de veículo,2017,maio,236
Alagoas,Roubo seguido de morte (latrocínio),2017,maio,4
Alagoas,Tentativa de homicídio,2017,maio,41
Alagoas,Estupro,2017,junho,47
Alagoas,Furto de veículo,2017,junho,89
Alagoas,Homicídio doloso,2017,junho,116
Alagoas,Lesão corporal seguida de morte,2017,junho,0
Alagoas,Roubo a instituição financeira,2017,junho,3
Alagoas,Roubo de carga,2017,junho,2
Alagoas,Roubo de veículo,2017,junho,201
Alagoas,Roubo seguido de morte (latrocínio),2017,junho,6
Alagoas,Tentativa de homicídio,2017,junho,57
Alagoas,Estupro,2017,julho,53
Alagoas,Furto de veículo,2017,julho,92
Alagoas,Homicídio doloso,2017,julho,100
Alagoas,Lesão corporal seguida de morte,2017,julho,1
Alagoas,Roubo a instituição financeira,2017,julho,2
Alagoas,Roubo de carga,2017,julho,7
Alagoas,Roubo de veículo,2017,julho,240
Alagoas,Roubo seguido de morte (latrocínio),2017,julho,1
Alagoas,Tentativa de homicídio,2017,julho,30
Alagoas,Estupro,2017,agosto,49
Alagoas,Furto de veículo,2017,agosto,129
Alagoas,Homicídio doloso,2017,agosto,134
Alagoas,Lesão corporal seguida de morte,2017,agosto,0
